doi,n_xyz_total,n_xyz_matched,n_leaves_total,n_leaves_with_any_label
10.1002/(SICI)1099-0690(200001)2000:1<91::AID-EJOC91>3.0.CO;2-C,3,0,1,0
10.1002/1099-0682(200206)2002:6<1326::AID-EJIC1326>3.0.CO;2-T,4,0,1,0
10.1002/1099-0682(200206)2002:6<1447::AID-EJIC1447>3.0.CO;2-D,7,0,1,0
10.1002/1099-0682(200206)2002:6<1475::AID-EJIC1475>3.0.CO;2-J,1,0,1,0
10.1002/1099-0682(200211)2002:11<2947::AID-EJIC2947>3.0.CO;2-W,5,0,1,0
10.1002/1099-0690(200211)2002:22<3844::AID-EJOC3844>3.0.CO;2-C,30,0,1,0
10.1002/1521-3765(20000901)6:17<3272::AID-CHEM3272>3.0.CO;2-E,15,0,1,0
10.1002/1521-3765(20000915)6:18<3414::AID-CHEM3414>3.0.CO;2-P,1,0,1,0
10.1002/1521-3765(20001103)6:21<4021::AID-CHEM4021>3.0.CO;2-N,10,0,1,0
10.1002/1521-3765(20010417)7:8<1679::AID-CHEM16790>3.0.CO;2-5,40,0,1,0
10.1002/1521-3765(20010417)7:8<1703::AID-CHEM17030>3.0.CO;2-K,31,0,1,0
10.1002/1521-3765(20011105)7:21<4572::AID-CHEM4572>3.0.CO;2-2,17,0,1,0
10.1002/1521-3765(20011119)7:22<4913::AID-CHEM4913>3.0.CO;2-7,25,0,1,0
10.1002/1521-3765(20020517)8:10<2324::AID-CHEM2324>3.0.CO;2-X,3,0,1,0
10.1002/1521-3765(20020816)8:16<3620::AID-CHEM3620>3.0.CO;2-P,14,0,1,0
10.1002/1521-3765(20021018)8:20<4734::AID-CHEM4734>3.0.CO;2-B,8,0,1,0
10.1002/adfm.200700713,7,0,1,0
10.1002/adfm.200901803,2,0,1,0
10.1002/adfm.201301750,1,0,1,0
10.1002/adfm.201302297,33,0,1,0
10.1002/adfm.201302907,1,0,1,0
10.1002/adfm.201400083,1,0,1,0
10.1002/adfm.201400161,1,0,1,0
10.1002/adfm.201400394,5,0,1,0
10.1002/adfm.201401798,1,0,1,0
10.1002/adfm.201404294,4,0,1,0
10.1002/adfm.201404372,5,0,1,0
10.1002/adfm.201501537,1,0,1,0
10.1002/adfm.201501815,11,0,1,0
10.1002/adfm.201502163,2,0,1,0
10.1002/adfm.201503935,1,0,1,0
10.1002/adfm.201504908,4,0,1,0
10.1002/adfm.201505040,2,0,1,0
10.1002/adfm.201600079,10,0,1,0
10.1002/adfm.201601292,1,0,1,0
10.1002/adfm.201601492,1,0,1,0
10.1002/adfm.201601732,1,0,1,0
10.1002/adfm.201603411,1,0,1,0
10.1002/adfm.201603520,21,0,1,0
10.1002/adfm.201604265,1,0,1,0
10.1002/adfm.201604676,1,0,1,0
10.1002/adfm.201604799,2,0,1,0
10.1002/adfm.201702300,1,0,1,0
10.1002/adfm.201704169,2,0,1,0
10.1002/adfm.201706120,1,0,1,0
10.1002/adfm.201706125,4,0,1,0
10.1002/adfm.201706391,1,0,1,0
10.1002/adfm.201800136,1,0,1,0
10.1002/adfm.201802167,2,0,1,0
10.1002/adfm.201802169,1,0,1,0
10.1002/adfm.201802339,2,0,1,0
10.1002/adfm.201802744,1,0,1,0
10.1002/adfm.201803330,3,0,1,0
10.1002/adfm.201804073,2,0,1,0
10.1002/adfm.201804355,1,0,1,0
10.1002/adfm.201805641,6,0,1,0
10.1002/adfm.201805893,2,0,1,0
10.1002/adfm.201807086,1,0,1,0
10.1002/adfm.201807280,1,0,1,0
10.1002/adfm.201807419,1,0,1,0
10.1002/adfm.201807485,3,0,1,0
10.1002/adfm.201900367,1,0,1,0
10.1002/adfm.201900983,2,0,1,0
10.1002/adfm.201902875,2,0,1,0
10.1002/adfm.201904020,1,0,1,0
10.1002/adfm.201904278,3,0,1,0
10.1002/adfm.201905410,1,0,1,0
10.1002/adfm.201905990,5,0,1,0
10.1002/adfm.201906157,2,0,1,0
10.1002/adfm.201908209,2,0,1,0
10.1002/adfm.201908826,2,0,1,0
10.1002/adfm.201909269,3,0,1,0
10.1002/adfm.201910118,1,0,1,0
10.1002/adfm.201910275,1,0,1,0
10.1002/adfm.201910482,3,0,1,0
10.1002/adfm.201910498,4,0,1,0
10.1002/adfm.201910568,4,0,1,0
10.1002/adfm.201910749,1,0,1,0
10.1002/adfm.202000154,2,0,1,0
10.1002/adfm.202000427,1,0,1,0
10.1002/adfm.202000570,6,0,1,0
10.1002/adfm.202000820,1,0,1,0
10.1002/adfm.202000852,1,0,1,0
10.1002/adfm.202001909,1,0,1,0
10.1002/adfm.202002064,62,0,1,0
10.1002/adfm.202002087,4,0,1,0
10.1002/adfm.202002114,4,0,1,0
10.1002/adfm.202002187,4,0,1,0
10.1002/adfm.202002342,1,0,1,0
10.1002/adfm.202002536,4,0,1,0
10.1002/adfm.202002606,1,0,1,0
